Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ak,10689607,1,"Monday, April  8, 2013 00:57:01 UTC",59.9951,-151.0038,1.8,55.80, 9,"Kenai Peninsula, Alaska"
nn,00408697,1,"Monday, April  8, 2013 00:49:20 UTC",38.6932,-118.6030,1.3,5.10, 5,"Nevada"
ak,10689600,1,"Monday, April  8, 2013 00:40:52 UTC",62.2651,-149.2879,1.8,27.90,22,"Central Alaska"
ak,10689598,1,"Monday, April  8, 2013 00:39:11 UTC",61.8343,-150.2122,2.0,35.50,20,"Southern Alaska"
ak,10689521,1,"Monday, April  8, 2013 00:35:27 UTC",60.0227,-151.0322,2.4,50.90,20,"Kenai Peninsula, Alaska"
pr,13098001,0,"Monday, April  8, 2013 00:34:27 UTC",18.0000,-66.4653,1.9,10.00,12,"Puerto Rico"
pr,13098000,0,"Monday, April  8, 2013 00:19:19 UTC",19.1445,-67.7490,3.2,113.00,11,"Puerto Rico region"
nc,71968040,3,"Monday, April  8, 2013 00:11:40 UTC",36.5613,-121.0752,2.1,6.80,44,"Central California"
us,b000g1ve,5,"Monday, April  8, 2013 00:08:48 UTC",12.0794,-87.9958,4.3,35.10,30,"near the coast of Nicaragua"
ci,11281586,1,"Monday, April  8, 2013 00:04:24 UTC",34.7165,-116.2938,1.8,5.00,23,"Southern California"
ak,10689507,1,"Sunday, April  7, 2013 23:57:19 UTC",63.2885,-150.3334,1.3,0.10, 6,"Central Alaska"
ci,11281578,1,"Sunday, April  7, 2013 23:54:36 UTC",34.7123,-116.2883,2.4,1.60,30,"Southern California"
ci,11281562,3,"Sunday, April  7, 2013 23:49:32 UTC",34.7138,-116.2898,1.8,1.40,25,"Southern California"
ci,11281546,2,"Sunday, April  7, 2013 23:34:42 UTC",35.0492,-117.6683,1.6,0.00,13,"Southern California"
us,b000g1uq,8,"Sunday, April  7, 2013 23:32:38 UTC",-29.4468,-68.0468,4.7,101.50,35,"La Rioja, Argentina"
nc,71968015,0,"Sunday, April  7, 2013 23:18:24 UTC",38.8193,-122.8135,1.0,3.10,21,"Northern California"
nc,71968010,3,"Sunday, April  7, 2013 23:14:38 UTC",38.8263,-123.6078,2.7,4.50,52,"Northern California"
ci,11281522,2,"Sunday, April  7, 2013 23:07:11 UTC",33.8010,-116.0982,1.0,2.50,17,"Southern California"
ci,11281514,1,"Sunday, April  7, 2013 23:04:24 UTC",35.8917,-118.3602,1.2,3.40,23,"Central California"
ci,11281506,1,"Sunday, April  7, 2013 23:03:13 UTC",33.8040,-116.0902,1.1,1.80,23,"Southern California"
mb,13956310,2,"Sunday, April  7, 2013 22:52:06 UTC",47.4483,-112.7250,1.4,23.80,16,"western Montana"
nc,71968000,2,"Sunday, April  7, 2013 22:46:54 UTC",37.5180,-118.8718,1.1,11.50,24,"Central California"
ci,11281498,1,"Sunday, April  7, 2013 22:26:03 UTC",33.7735,-118.1467,1.6,10.10,16,"Greater Los Angeles area, California"
ak,10689484,1,"Sunday, April  7, 2013 22:22:59 UTC",63.7096,-149.6759,2.2,128.70,28,"Central Alaska"
ak,10689485,1,"Sunday, April  7, 2013 22:21:51 UTC",59.9682,-152.9867,1.4,7.00, 7,"Southern Alaska"
ak,10689481,1,"Sunday, April  7, 2013 22:18:08 UTC",65.4265,-144.7090,1.9,0.30,13,"northern Alaska"
ak,10689479,1,"Sunday, April  7, 2013 22:17:17 UTC",61.5005,-146.1251,1.9,40.70,13,"Southern Alaska"
pr,13097003,0,"Sunday, April  7, 2013 22:04:39 UTC",19.5715,-68.9682,3.8,35.00,15,"Dominican Republic region"
ci,11281482,3,"Sunday, April  7, 2013 21:43:26 UTC",34.7118,-116.2885,1.8,2.30,24,"Southern California"
ak,10689473,1,"Sunday, April  7, 2013 21:36:12 UTC",61.7362,-149.4672,1.6,36.10,14,"Southern Alaska"
ci,37111052,2,"Sunday, April  7, 2013 21:23:14 UTC",32.8808,-116.2528,1.5,10.10,17,"Southern California"
ci,11281466,1,"Sunday, April  7, 2013 21:22:52 UTC",33.6483,-116.7548,1.2,13.10,42,"Southern California"
ak,10689465,1,"Sunday, April  7, 2013 21:21:15 UTC",61.4886,-146.2832,2.6,22.20,34,"Southern Alaska"
ci,11281458,1,"Sunday, April  7, 2013 21:14:03 UTC",34.7127,-116.2933,1.6,2.90,14,"Southern California"
nc,71967945,3,"Sunday, April  7, 2013 20:57:39 UTC",40.2992,-121.4823,1.2,3.20,12,"Northern California"
nc,71967940,0,"Sunday, April  7, 2013 20:53:00 UTC",38.8227,-122.8235,1.1,2.70,23,"Northern California"
ci,11281434,4,"Sunday, April  7, 2013 20:45:18 UTC",34.7115,-116.2870,3.2,1.70,42,"Southern California"
nc,71967925,3,"Sunday, April  7, 2013 20:44:44 UTC",36.5493,-121.1318,1.9,9.10,41,"Central California"
ci,11281442,2,"Sunday, April  7, 2013 20:42:57 UTC",34.7140,-116.2947,1.5,2.40,13,"Southern California"
ak,10689454,1,"Sunday, April  7, 2013 20:41:06 UTC",61.4040,-147.1992,1.5,21.00,10,"Southern Alaska"
mb,13430159,2,"Sunday, April  7, 2013 20:31:22 UTC",47.3441,-113.1441,1.5,24.10,21,"western Montana"
ci,11281418,1,"Sunday, April  7, 2013 20:14:48 UTC",33.7953,-116.0890,1.0,3.50,26,"Southern California"
ak,10689445,1,"Sunday, April  7, 2013 20:14:46 UTC",65.7037,-147.7083,1.8,9.70,12,"northern Alaska"
ak,10689442,1,"Sunday, April  7, 2013 19:59:26 UTC",63.0688,-151.4817,1.3,3.00, 8,"Central Alaska"
nc,71967885,3,"Sunday, April  7, 2013 19:53:11 UTC",37.6247,-118.8570,2.0,5.40,43,"Long Valley area, California"
se,040713a,B,"Sunday, April  7, 2013 19:21:12 UTC",33.8650,-82.4575,2.5,3.50,16,"Georgia, USA"
ci,11281378,1,"Sunday, April  7, 2013 19:20:01 UTC",33.8055,-116.0948,1.1,2.40,30,"Southern California"
uw,60515547,2,"Sunday, April  7, 2013 19:18:52 UTC",47.3465,-122.7582,1.6,28.00,37,"Puget Sound region, Washington"
ci,11281370,4,"Sunday, April  7, 2013 19:14:02 UTC",33.8023,-116.0932,3.5,3.80,96,"Southern California"
ci,11281362,2,"Sunday, April  7, 2013 19:13:43 UTC",34.7112,-116.2902,1.6,2.40,11,"Southern California"
ci,11281346,1,"Sunday, April  7, 2013 19:08:35 UTC",34.0390,-116.3190,1.0,9.90,12,"Southern California"
ci,11281354,2,"Sunday, April  7, 2013 19:06:56 UTC",33.8112,-116.0952,1.0,7.10,11,"Southern California"
nc,71967870,2,"Sunday, April  7, 2013 19:06:07 UTC",36.5620,-121.0737,1.6,6.80,28,"Central California"
nc,71967865,3,"Sunday, April  7, 2013 19:03:30 UTC",38.9715,-123.0225,1.2,7.50,24,"Northern California"
uu,60018352,2,"Sunday, April  7, 2013 18:57:00 UTC",44.2343,-110.7718,1.9,4.00, 9,"Yellowstone National Park, Wyoming"
ci,11281338,1,"Sunday, April  7, 2013 18:55:46 UTC",35.5765,-118.5298,1.1,4.00, 8,"Central California"
nc,71967850,2,"Sunday, April  7, 2013 18:41:52 UTC",37.3848,-118.3913,1.7,7.10,33,"Central California"
uu,60018342,2,"Sunday, April  7, 2013 18:40:32 UTC",44.2455,-110.8003,1.2,5.10, 9,"Yellowstone National Park, Wyoming"
uu,60018337,3,"Sunday, April  7, 2013 18:28:07 UTC",44.2738,-110.8555,1.2,7.70, 5,"Yellowstone National Park, Wyoming"
nc,71967845,2,"Sunday, April  7, 2013 18:15:40 UTC",37.6248,-118.8555,1.5,5.50,32,"Long Valley area, California"
uu,60018332,2,"Sunday, April  7, 2013 18:14:01 UTC",44.2358,-110.7865,1.3,4.40,10,"Yellowstone National Park, Wyoming"
us,b000g1ps,5,"Sunday, April  7, 2013 18:13:09 UTC",-2.1893,68.2049,4.6,10.00,17,"Carlsberg Ridge"
ak,10689416,1,"Sunday, April  7, 2013 18:12:54 UTC",63.0627,-151.4337,1.4,7.00, 9,"Central Alaska"
nc,71967840,0,"Sunday, April  7, 2013 18:07:45 UTC",38.8173,-122.8258,1.1,2.90,21,"Northern California"
ak,10689413,1,"Sunday, April  7, 2013 18:04:26 UTC",62.4529,-148.1507,1.3,37.00, 7,"Central Alaska"
nc,71967835,0,"Sunday, April  7, 2013 18:04:09 UTC",38.8393,-122.8267,1.5,2.30,23,"Northern California"
ak,10689406,1,"Sunday, April  7, 2013 18:00:00 UTC",63.1112,-151.4455,2.7,3.80,27,"Central Alaska"
us,b000g1pg,4,"Sunday, April  7, 2013 17:43:52 UTC",21.2497,143.9975,4.7,92.80,26,"Mariana Islands region"
nc,71967820,0,"Sunday, April  7, 2013 17:43:51 UTC",38.7512,-122.6797,1.7,15.10, 6,"Northern California"
ak,10689396,1,"Sunday, April  7, 2013 17:32:13 UTC",62.0096,-150.1492,1.9,73.30,13,"Central Alaska"
nc,71967795,3,"Sunday, April  7, 2013 17:16:19 UTC",36.2593,-120.4630,1.9,12.90,49,"Central California"
ak,10689373,1,"Sunday, April  7, 2013 16:47:11 UTC",63.8686,-145.3497,1.2,2.30, 5,"Central Alaska"
us,2013nsas,8,"Sunday, April  7, 2013 16:43:37 UTC",-21.0472,-178.5623,4.6,547.30,79,"Fiji region"
ci,11281290,1,"Sunday, April  7, 2013 16:04:07 UTC",34.6418,-116.6523,2.0,5.90,61,"Southern California"
ci,11281282,1,"Sunday, April  7, 2013 15:42:12 UTC",32.8020,-115.5692,1.7,12.10,14,"Southern California"
nc,71967765,0,"Sunday, April  7, 2013 15:18:51 UTC",38.8092,-122.7440,1.0,2.20,18,"Northern California"
pr,13097002,0,"Sunday, April  7, 2013 15:18:26 UTC",18.9102,-65.2559,2.8,36.00,13,"Puerto Rico region"
ci,11281250,1,"Sunday, April  7, 2013 15:15:53 UTC",33.4862,-116.4275,1.4,10.40,39,"Southern California"
nc,71070819,2,"Sunday, April  7, 2013 15:10:07 UTC",38.8307,-122.8560,1.8,2.80,38,"Northern California"
nc,71967755,3,"Sunday, April  7, 2013 15:09:54 UTC",38.8297,-122.8542,2.0,2.70,67,"Northern California"
ak,10689359,2,"Sunday, April  7, 2013 15:09:01 UTC",51.4639,-176.1305,1.8,23.30,16,"Andreanof Islands, Aleutian Islands, Alaska"
ci,11281226,1,"Sunday, April  7, 2013 15:02:12 UTC",33.3058,-116.8793,1.0,16.40,29,"Southern California"
nc,71968295,2,"Sunday, April  7, 2013 14:55:26 UTC",37.6278,-119.4212,1.2,9.50,14,"Central California"
ci,11281218,1,"Sunday, April  7, 2013 14:36:56 UTC",33.8043,-116.0948,1.7,2.50,53,"Southern California"
nc,71967735,3,"Sunday, April  7, 2013 14:34:14 UTC",36.2560,-120.4653,1.6,12.90,46,"Central California"
nc,71967725,0,"Sunday, April  7, 2013 14:30:34 UTC",38.8365,-122.7753,1.5,2.60,18,"Northern California"
uu,60018322,4,"Sunday, April  7, 2013 14:26:52 UTC",44.4443,-110.9252,1.5,6.30,23,"Yellowstone National Park, Wyoming"
us,b000g1n8,6,"Sunday, April  7, 2013 14:22:21 UTC",-55.7320,-26.7224,5.0,17.20,72,"South Sandwich Islands region"
nc,71967715,0,"Sunday, April  7, 2013 14:09:46 UTC",38.8138,-122.7443,1.0,3.00,16,"Northern California"
us,2013nsar,6,"Sunday, April  7, 2013 14:09:19 UTC",35.4918,140.7770,4.8,60.50,129,"near the east coast of Honshu, Japan"
nc,71967710,3,"Sunday, April  7, 2013 14:05:09 UTC",38.8228,-123.6120,2.3,0.20,41,"offshore Northern California"
ak,10689340,1,"Sunday, April  7, 2013 13:51:28 UTC",62.6100,-148.8588,1.3,18.20,10,"Central Alaska"
pr,13097001,0,"Sunday, April  7, 2013 13:41:13 UTC",17.9398,-66.1839,2.4,13.00,15,"Puerto Rico"
ci,11281210,1,"Sunday, April  7, 2013 13:26:17 UTC",32.6582,-115.8678,1.5,8.50,20,"Southern California"
ak,10689331,2,"Sunday, April  7, 2013 13:25:03 UTC",65.4108,-144.8727,1.7,7.90,17,"northern Alaska"
ak,10689329,1,"Sunday, April  7, 2013 13:24:56 UTC",62.3212,-151.8943,2.5,124.90,22,"Central Alaska"
nc,71967695,2,"Sunday, April  7, 2013 13:12:20 UTC",36.9647,-121.4537,1.3,4.50,40,"Central California"
hv,60487006,1,"Sunday, April  7, 2013 13:00:50 UTC",19.3262,-155.1988,1.8,4.00,31,"Island of Hawaii, Hawaii"
uu,60018312,2,"Sunday, April  7, 2013 12:47:27 UTC",44.2352,-110.7772,1.1,4.30, 8,"Yellowstone National Park, Wyoming"
nc,71967675,2,"Sunday, April  7, 2013 12:44:00 UTC",37.4693,-118.5258,1.2,13.80,19,"Central California"
nc,71967665,1,"Sunday, April  7, 2013 12:37:07 UTC",38.8132,-122.8103,1.3,2.60,25,"Northern California"
pr,13097000,0,"Sunday, April  7, 2013 12:23:03 UTC",18.5275,-66.3645,2.6,95.00,12,"Puerto Rico region"
ci,11281186,2,"Sunday, April  7, 2013 12:15:45 UTC",33.8052,-116.0967,1.1,5.10,18,"Southern California"
ak,10689319,1,"Sunday, April  7, 2013 12:14:02 UTC",63.3405,-145.0705,1.1,22.20, 6,"Central Alaska"
hv,60486991,2,"Sunday, April  7, 2013 12:13:48 UTC",19.4022,-155.2842,2.0,1.70,19,"Island of Hawaii, Hawaii"
hv,60486986,1,"Sunday, April  7, 2013 12:13:20 UTC",19.4262,-155.4352,2.6,7.00,24,"Island of Hawaii, Hawaii"
nc,71967660,2,"Sunday, April  7, 2013 12:06:37 UTC",37.6983,-121.9277,1.1,7.50,15,"San Francisco Bay area, California"
ci,11281170,3,"Sunday, April  7, 2013 11:47:17 UTC",33.8010,-116.0917,2.6,4.00,70,"Southern California"
ci,11281162,3,"Sunday, April  7, 2013 11:33:01 UTC",33.6635,-117.0163,1.1,11.40,32,"Southern California"
us,b000g1mh,4,"Sunday, April  7, 2013 11:23:28 UTC",46.1550,14.7635,3.2,12.50,19,"Slovenia"
us,b000g1mf,8,"Sunday, April  7, 2013 11:08:31 UTC",-25.8800,179.8092,4.8,493.50,59,"south of the Fiji Islands"
ak,10689312,1,"Sunday, April  7, 2013 11:06:46 UTC",63.5059,-151.0991,1.3,12.50, 5,"Central Alaska"
ci,11281146,3,"Sunday, April  7, 2013 10:41:07 UTC",36.1070,-117.6188,1.4,0.80,17,"Central California"
nn,00408648,1,"Sunday, April  7, 2013 10:37:41 UTC",37.3555,-114.8356,1.5,5.30, 7,"Nevada"
hv,60486961,1,"Sunday, April  7, 2013 10:13:28 UTC",19.4057,-155.6352,2.1,2.40,10,"Island of Hawaii, Hawaii"
uw,60515462,2,"Sunday, April  7, 2013 10:04:49 UTC",47.3543,-122.7473,1.5,28.50,34,"Puget Sound region, Washington"
ci,11281138,3,"Sunday, April  7, 2013 10:03:07 UTC",35.5692,-118.5242,1.4,2.10,10,"Central California"
ak,10689299,1,"Sunday, April  7, 2013 10:02:17 UTC",66.2344,-148.7422,3.2,7.40,28,"northern Alaska"
nc,71967625,0,"Sunday, April  7, 2013 09:58:09 UTC",38.7592,-122.6980,1.0,1.10, 8,"Northern California"
nc,71967620,1,"Sunday, April  7, 2013 09:57:29 UTC",38.8367,-122.7778,1.2,2.90,24,"Northern California"
ak,10689296,2,"Sunday, April  7, 2013 09:54:24 UTC",66.2458,-148.7530,1.2,11.90,12,"northern Alaska"
ci,11281122,3,"Sunday, April  7, 2013 09:51:45 UTC",33.6527,-116.7167,1.0,17.30,37,"Southern California"
ci,11281130,3,"Sunday, April  7, 2013 09:51:44 UTC",35.5675,-118.5242,1.4,1.10,14,"Central California"
nc,71967610,0,"Sunday, April  7, 2013 09:47:44 UTC",38.8353,-122.8013,1.0,2.80,19,"Northern California"
uw,60515442,2,"Sunday, April  7, 2013 09:40:15 UTC",47.3437,-122.7347,1.0,26.00,16,"Puget Sound region, Washington"
ak,10689285,2,"Sunday, April  7, 2013 09:34:38 UTC",66.2238,-148.7458,3.8,17.20,47,"northern Alaska"
us,b000g1ma,7,"Sunday, April  7, 2013 09:33:28 UTC",-3.5347,138.5280,4.6,81.10,62,"Papua, Indonesia"
nc,71967600,8,"Sunday, April  7, 2013 09:23:42 UTC",41.2072,-123.4978,2.6,41.20,22,"Northern California"
ci,11281098,4,"Sunday, April  7, 2013 09:19:09 UTC",36.0038,-117.7970,1.0,2.60,14,"Central California"
ci,11281074,3,"Sunday, April  7, 2013 08:58:10 UTC",33.8027,-116.0922,1.8,1.50,52,"Southern California"
uw,60515422,3,"Sunday, April  7, 2013 08:57:07 UTC",47.3385,-122.7795,3.5,28.40,146,"Puget Sound region, Washington"
nc,71967590,0,"Sunday, April  7, 2013 08:49:23 UTC",38.8315,-122.8060,1.0,2.40,20,"Northern California"
us,b000g1lt,8,"Sunday, April  7, 2013 08:40:37 UTC",-7.9861,-79.5930,4.6,64.30,54,"near the coast of northern Peru"
nn,00408645,1,"Sunday, April  7, 2013 08:37:55 UTC",38.7321,-119.6096,1.1,7.80, 9,"Nevada"
ak,10689270,1,"Sunday, April  7, 2013 08:32:00 UTC",63.9363,-148.9679,1.6,0.50,22,"Central Alaska"
nc,71967585,3,"Sunday, April  7, 2013 08:22:06 UTC",38.8330,-123.6032,1.8,3.90,19,"Northern California"
nc,71967580,2,"Sunday, April  7, 2013 08:16:33 UTC",38.8163,-123.6233,2.1,0.60,21,"offshore Northern California"
ak,10689263,1,"Sunday, April  7, 2013 07:52:38 UTC",66.2237,-148.8625,2.1,0.00,11,"northern Alaska"
ak,10689264,2,"Sunday, April  7, 2013 07:51:55 UTC",66.2423,-148.9080,1.8,10.30,13,"northern Alaska"
hv,60486936,1,"Sunday, April  7, 2013 07:44:49 UTC",20.0060,-155.4875,2.6,13.30,36,"Hawaii region, Hawaii"
nc,71967575,4,"Sunday, April  7, 2013 07:43:11 UTC",36.1580,-120.1727,2.4,8.70,86,"Central California"
ci,11281050,3,"Sunday, April  7, 2013 07:14:58 UTC",33.8052,-116.0923,1.3,2.50,34,"Southern California"
ak,10689254,1,"Sunday, April  7, 2013 07:14:03 UTC",60.5424,-151.9095,2.1,106.80,27,"Kenai Peninsula, Alaska"
ci,11281042,3,"Sunday, April  7, 2013 07:12:29 UTC",33.8003,-116.0932,1.7,2.30,48,"Southern California"
ci,11281034,3,"Sunday, April  7, 2013 07:08:00 UTC",33.8015,-116.0923,1.5,1.30,43,"Southern California"
ak,10689244,1,"Sunday, April  7, 2013 06:43:18 UTC",63.5582,-149.3322,1.5,68.60,10,"Central Alaska"
ak,10689243,1,"Sunday, April  7, 2013 06:41:01 UTC",62.9911,-149.7462,1.0,43.90, 6,"Central Alaska"
ak,10689240,1,"Sunday, April  7, 2013 06:34:35 UTC",60.8467,-147.7336,1.6,4.40, 5,"Southern Alaska"
ak,10689238,2,"Sunday, April  7, 2013 06:27:12 UTC",52.4786,-174.3893,3.4,248.70,20,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10689230,2,"Sunday, April  7, 2013 05:52:27 UTC",61.2826,-150.6693,1.2,56.50,17,"Southern Alaska"
uu,60018297,4,"Sunday, April  7, 2013 05:46:35 UTC",39.7088,-111.2557,1.5,3.40,17,"Utah"
nc,71967535,0,"Sunday, April  7, 2013 05:37:59 UTC",38.8217,-122.7625,1.2,2.30,17,"Northern California"
nc,71967530,3,"Sunday, April  7, 2013 05:34:07 UTC",38.8215,-122.7610,2.6,2.50,80,"Northern California"
ak,10689222,1,"Sunday, April  7, 2013 05:26:34 UTC",60.9318,-151.4713,1.9,60.30,10,"Kenai Peninsula, Alaska"
ak,10689220,2,"Sunday, April  7, 2013 05:25:57 UTC",63.2783,-150.4491,1.6,119.30,25,"Central Alaska"
ak,10689216,1,"Sunday, April  7, 2013 05:23:56 UTC",62.7546,-149.8905,1.7,89.90,20,"Central Alaska"
ak,10689218,2,"Sunday, April  7, 2013 05:22:50 UTC",63.0187,-151.0939,1.5,124.60,14,"Central Alaska"
us,b000g1kr,7,"Sunday, April  7, 2013 05:18:24 UTC",11.9410,-87.8882,4.4,35.10,52,"near the coast of Nicaragua"
nc,71967520,3,"Sunday, April  7, 2013 04:48:42 UTC",35.5485,-120.7860,1.1,4.30,44,"Central California"
us,b000g1ke,5,"Sunday, April  7, 2013 04:34:06 UTC",17.5161,147.2626,4.7,60.10,30,"Mariana Islands region"
nc,71967510,0,"Sunday, April  7, 2013 04:30:50 UTC",38.7902,-122.8605,1.1,1.70, 9,"Northern California"
ak,10689204,1,"Sunday, April  7, 2013 04:29:41 UTC",62.8327,-148.3764,1.6,51.80,18,"Central Alaska"
ak,10689199,1,"Sunday, April  7, 2013 04:00:09 UTC",62.9353,-150.5488,1.6,89.20,18,"Central Alaska"
us,b000g1k7,5,"Sunday, April  7, 2013 03:38:05 UTC",17.4919,147.4333,4.5,59.90,26,"Mariana Islands region"
ci,11281026,3,"Sunday, April  7, 2013 03:35:35 UTC",33.8037,-116.0933,1.5,2.00,41,"Southern California"
